-136.5499878,180.5999756
-136.5499878,161.8651123
-136.5499878,143.130188
-136.5499878,124.3953247
-136.5499878,105.6604004
-136.5499878,86.92553711
-136.5499878,68.19067383
-136.5499878,49.45581055
-136.5499878,30.72088623
-136.5499878,11.98602295
-136.5499878,-6.748901367
-136.5499878,-25.48376465
-136.5499878,-44.21862793
-136.5499878,-62.95355225
-136.5499878,-81.68841553
-136.5499878,-100.4233093
-136.5499878,-119.1582031
-136.5499878,-137.8930664
-136.5499878,-156.6279602
-135.2871399,-174.1000061
-116.5522766,-174.1000061
-97.81738281,-174.1000061
-79.08248901,-174.1000061
-65.89956665,-164.6300354
-56.74926758,-148.2817383
-47.59893799,-131.9334106
-38.4486084,-115.585083
-29.29830933,-99.23678589
-20.14797974,-82.88842773
-10.99765015,-66.54016113
-1.847320557,-50.19177246
7.302978516,-33.84350586
16.45330811,-17.49511719
25.6036377,-1.146850586
34.75396729,15.20141602
43.90429688,31.54980469
48.45947266,30.62744141
48.27557373,11.89343262
48.09173584,-6.840576172
47.90783691,-25.57452393
47.72393799,-44.30847168
47.5401001,-63.04248047
47.35620117,-81.77648926
47.17230225,-100.510437
46.98846436,-119.2444458
46.80456543,-137.9784241
46.6206665,-156.7124634
47.79644775,-174.1000061
66.53131104,-174.1000061
85.26629639,-174.1000061
104.0011597,-174.1000061
112.7999878,-164.1640015
112.7999878,-145.4291382
112.7999878,-126.6942749
112.7999878,-107.9594116
112.7999878,-89.22442627
112.7999878,-70.48956299
112.7999878,-51.75469971
112.7999878,-33.01983643
112.7999878,-14.28485107
112.7999878,4.450012207
112.7999878,23.18493652
112.7999878,41.9197998
112.7999878,60.65466309
112.7999878,79.38964844
112.7999878,98.12451172
112.7999878,116.859375
112.7999878,135.5942383
112.7999878,154.3291016
112.7999878,173.0639648
101.6010742,180.5999756
82.86621094,180.5999756
64.13134766,180.5999756
49.30395508,173.8097534
39.890625,157.6115112
30.47717285,141.413147
21.06384277,125.2148438
11.65045166,109.0166016
2.237121582,92.81835938
-7.176269531,76.62005615
-16.58959961,60.42181396
-26.00305176,44.22344971
-35.41638184,28.02514648
-44.82977295,11.8269043
-54.24310303,-4.371337891
-63.65649414,-20.56958008
-65.53811646,-9.233154297
-65.39620972,9.501342773
-65.25427246,28.23565674
-65.11233521,46.9699707
-64.97042847,65.70428467
-64.82849121,84.43865967
-64.68655396,103.1730957
-64.54464722,121.9074707
-64.40270996,140.6417847
-64.26080322,159.3760986
-64.11886597,178.1104126
-80.34521484,180.5999756
-99.0802002,180.5999756
-117.8150635,180.5999756
